App                      ,Concerned Permission                                              ,Lint(BUG)                                              ,ARPDroid                                                            ,RevDroid                                               ,Lint(FIX) ,ARPDroid ,RevDroid ,BUG-URL                                                                                      ,FIX-URL
pslab-android            ,RECORD_AUDIO                                                      ,                                                       ,x                                                                   ,x                                                      ,          ,         ,         ,                                                                                             ,https://github.com/fossasia/pslab-android/tree/a81a17a18be803602349c2c72d92a83956129178
Apps-android-commons     ,ACCESS_FINE_LOCATION                                              ,ACCESS_FINE_LOCATION                                   ,ACCESS_FINE_LOCATION                                                ,ACCESS_FINE_LOCATION                                   ,          ,FP       ,FP       ,                                                                                             ,
opentasks                ,GET_ACCOUNTS                                                      ,GET_ACCOUNTS                                           ,X                                                                   ,GET_ACCOUNTS                                           ,          ,         ,FP       ,                                                                                             ,
Etar-Calendar            ,WRITE_EXTERNAL_STORAGE、READ_CONTACTS                              ,                                                       ,READ_CALENDAR/WRITE_CALENDAR                                        ,READ_CALENDAR/WRITE_CALENDAR                           ,          ,FP       ,         ,                                                                                             ,
android-BluetoothLeGatt  ,ACCESS_COARSE_LOCATION                                            ,ACCESS_COARSE_LOCATION                                 ,X                                                                   ,X                                                      ,          ,         ,         ,                                                                                             ,
K6nele                   ,RECORD_AUDIO                                                      ,                                                       ,RECORD_AUDIO                                                        ,X                                                      ,          ,FP       ,         ,                                                                                             ,
androidClient(Kontalk)   ,ACCESS_COARSE_LOCATION、ACCESS_FINE_LOCATION                       ,ACCESS_COARSE_LOCATION、ACCESS_FINE_LOCATION            ,READ_PHONE_STATE/CAMERA/ACCESS_COARSE_LOCATION、ACCESS_FINE_LOCATION ,GET_ACCOUNTS/READ_CONTACTS                             ,          ,FP       ,FP       ,                                                                                             ,
UnifiedNlp               ,ACCESS_COARSE_LOCATION                                            ,ACCESS_COARSE_LOCATION                                 ,x                                                                   ,x                                                      ,          ,         ,         ,                                                                                             ,
IchnaeaNlpBackend        ,LOCATION、PHONE                                                    ,LOCATION、PHONE                                         ,X                                                                   ,X                                                      ,          ,         ,         ,                                                                                             ,
android-client(openMF)   ,ACCESS_FINE_LOCATION                                              ,ACCESS_FINE_LOCATION                                   ,x                                                                   ,LOCATION、PHONE                                         ,          ,FP       ,FP       ,                                                                                             ,
AmazeFileManager         ,STORAGE                                                           ,                                                       ,X                                                                   ,X                                                      ,          ,         ,         ,                                                                                             ,
termux-api               ,CAMERA/READ_CONTACTS/ACCESS_FINE_LOCATION/RECORD_AUDIO            ,CAMERA/READ_CONTACTS/ACCESS_FINE_LOCATION/RECORD_AUDIO ,CAMERA/READ_CONTACTS/ACCESS_FINE_LOCATION/RECORD_AUDIO              ,CAMERA/READ_CONTACTS/ACCESS_FINE_LOCATION/RECORD_AUDIO ,          ,FP       ,FP       ,https://github.com/termux/termux-api/tree/1c082d63072f56539c2f0ad498c137e4ce235465                                                                                             ,https://github.com/termux/termux-api/tree/7f050bded3a3b49c331af7a1d229a7b2b5ea6ece
open-keychain            ,CAMERA/READ_CONTACTS                                              ,CAMERA/READ_CONTACTS                                   ,CAMERA/READ_CONTACTS                                                ,CAMERA/READ_CONTACTS                                   ,          ,FP       ,FP       ,https://github.com/open-keychain/open-keychain/tree/05df0a63b71d00ad2beba57857c27f9ed50e30ba ,https://github.com/open-keychain/open-keychain/tree/c5bcbce28fa45d8d1e5714d111f3cc24a2c99d0e
openfoodfacts-androidapp ,CAMERA                                                            ,x                                                      ,CAMERA                                                              ,ACCESS_FINE_LOCATION/ACCESS_COARSE_LOCATION            ,          ,FP       ,FP       ,                                                                                             ,
Travel-Mate              ,ACCESS_FINE_LOCATION/ACCESS_COARSE_LOCATION/READ_EXTERNAL_STORAGE ,ACCESS_FINE_LOCATION/ACCESS_COARSE_LOCATION            ,x                                                                   ,x                                                      ,          ,
Images-to-PDF            ,CAMERA、READ_EXTERNAL_STORAGE                                      ,                                                       ,x                                                                   ,x                                                      ,          ,         ,         ,                                                                                             ,
good-weather             ,ACCESS_COARSE_LOCATION、ACCESS_FINE_LOCATION                       ,ACCESS_COARSE_LOCATION、ACCESS_FINE_LOCATION            ,ACCESS_COARSE_LOCATION、ACCESS_FINE_LOCATION                         ,ACCESS_COARSE_LOCATION、ACCESS_FINE_LOCATION            ,          ,FP       ,FP       ,                                                                                             ,
mapsforge                ,LOCATION                                                          ,                                                       ,X                                                                   ,X                                                      ,          ,         ,         ,                                                                                             ,
